ābcd, ābcd, ābcd, empty
ābcd + ab̄cd + abc̄d + abcd, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abc̄d, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd, ābcd + ab̄cd, ābcd + ab̄cd, empty
ābcd + ab̄cd + abcd, bcd + acd + abd, bcd + acd, empty
ābcd + ab̄cd, bcd + acd, bcd + acd, empty
ābcd + ab̄cd + abcd̄, ābcd + ab̄cd + abd̄, ābcd + ab̄cd + abd̄, empty
ābcd + ab̄cd + abcd̄ + abcd, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd + abcd̄, bcd + acd + ab, bcd + acd + ab, empty
ābcd + ab̄cd, ābcd + ab̄cd, ābcd + ab̄cd, empty
ābcd + ab̄cd + abcd, bcd + acd + ab, bcd + acd, empty
ābcd + ab̄cd, bcd + acd, bcd + acd, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abcd̄, ābcd + abcd̄, empty
ābcd + abcd̄ + abcd, bcd + acd + abc, bcd + abc, empty
ābcd + abcd̄, bcd + abc, bcd + abc, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d, ābcd + abc̄d, ābcd + abc̄d, empty
ābcd + abc̄d + abcd, bcd + acd + abd, bcd + abd, empty
ābcd + abc̄d, bcd + abd, bcd + abd, empty
ābcd + abc̄d + abcd̄, ābcd + abc̄d + abcd̄, ābcd + abc̄d + abcd̄, empty
ābcd + abc̄d + abcd̄ + abcd, bcd + acd + abd + abc, bcd + abd + abc, empty
ābcd + abc̄d + abcd̄, bcd + abd + abc, bcd + abd + abc, empty
ābcd + abc̄d, ābcd + abc̄d, ābcd + abc̄d, empty
ābcd + abc̄d + abcd, bcd + acd + abd + abc, bcd + abd, empty
ābcd + abc̄d, bcd + abd, bcd + abd, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd + abd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abcd̄, ābcd + abcd̄, empty
ābcd + abcd̄ + abcd, bcd + acd + abd + abc, bcd + abc, empty
ābcd + abcd̄, bcd + abc, bcd + abc, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd + abd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d̄, ābcd + abc̄d̄, ābcd + abc̄d̄, empty
ābcd + abc̄d̄ + abcd, bcd + acd + abc̄d̄, bcd + abc̄d̄, empty
ābcd + abc̄d̄, bcd + abc̄d̄, bcd + abc̄d̄, empty
ābcd + abc̄d̄ + abcd̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abc̄d̄ + abcd̄ + abcd, bcd + acd + abd̄ + abc, bcd + abd̄, empty
ābcd + abc̄d̄ + abcd̄, bcd + abd̄ + abc, bcd + abd̄, empty
ābcd + abc̄d̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abc̄d̄ + abcd, bcd + acd + abd̄ + abc, bcd + abd̄, empty
ābcd + abc̄d̄, bcd + abd̄, bcd + abd̄, empty
ābcd + abc̄d̄ + abc̄d, ābcd + abc̄, ābcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd, bcd + acd + abd + abc̄, bcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d, bcd + abd + abc̄, bcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd̄, ābcd + abd̄ + abc̄, ābcd + abd̄ + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd̄ + abcd, bcd + acd + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d + abcd̄, bcd + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d, ābcd + abd̄ + abc̄, ābcd + abc̄, empty
ābcd + abc̄d̄ + abc̄d + abcd, bcd + acd + ab, bcd + ab, empty
ābcd + abc̄d̄ + abc̄d, bcd + ab, bcd + ab, empty
ābcd + abc̄d̄, ābcd + abc̄, ābcd + abc̄, empty
ābcd + abc̄d̄ + abcd, bcd + acd + abd + abc̄, bcd + abc̄, empty
ābcd + abc̄d̄, bcd + abc̄, bcd + abc̄, empty
ābcd + abc̄d̄ + abcd̄, ābcd + abd̄ + abc̄, ābcd + abd̄, empty
ābcd + abc̄d̄ + abcd̄ + abcd, bcd + acd + ab, bcd + ab, empty
ābcd + abc̄d̄ + abcd̄, bcd + ab, bcd + ab, empty
ābcd + abc̄d̄, ābcd + abd̄ + abc̄, ābcd + abc̄, ābcd + abd̄
ābcd + abc̄d̄ + abcd, bcd + acd + ab, bcd + ab, empty
ābcd + abc̄d̄, bcd + ab, bcd + ab, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abcd̄ + abcd, bcd + acd + abd̄ + abc, bcd + abc, bcd + abd̄
ābcd + abcd̄, bcd + abd̄ + abc, bcd + abc, bcd + abd̄
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd + abc, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abc̄d, ābcd + abc̄, ābcd + abc̄, empty
ābcd + abc̄d + abcd, bcd + acd + abd + abc̄, bcd + abc̄, bcd + abd
ābcd + abc̄d, bcd + abd + abc̄, bcd + abc̄, bcd + abd
ābcd + abc̄d + abcd̄, ābcd + abd̄ + abc̄, ābcd + abd̄ + abc̄, empty
ābcd + abc̄d + abcd̄ + abcd, bcd + acd + ab, bcd + ab, empty
ābcd + abc̄d + abcd̄, bcd + ab, bcd + ab, empty
ābcd + abc̄d, ābcd + abc̄, ābcd + abc̄, empty
ābcd + abc̄d + abcd, bcd + acd + ab, bcd + ab, empty
ābcd + abc̄d, bcd + ab, bcd + ab, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd + abd, bcd, empty
ābcd, bcd, bcd, empty
ābcd + abcd̄, ābcd + abd̄, ābcd + abd̄, empty
ābcd + abcd̄ + abcd, bcd + acd + ab, bcd + ab, empty
ābcd + abcd̄, bcd + ab, bcd + ab, empty
ābcd, ābcd, ābcd, empty
ābcd + abcd, bcd + acd + ab, bcd, empty
ābcd, bcd, bcd, empty
