empty, 0, empty, empty
ābc̄ + ab̄c̄ + abc, bc̄ + ac̄ + ab, bc̄ + ac̄ + ab, empty
ābc̄ + ab̄c̄, bc̄ + ac̄, bc̄ + ac̄, empty
ābc̄ + ab̄c̄ + ab̄c, ābc̄ + ab̄, ābc̄ + ab̄, empty
ābc̄ + ab̄c̄ + ab̄c + abc, ābc̄ + ac + ab̄, ābc̄ + ac + ab̄, empty
ābc̄ + ab̄c̄ + ab̄c, ābc̄ + ac + ab̄, ābc̄ + ab̄, empty
ābc̄ + ab̄c̄ + ab̄c + abc̄, bc̄ + ac̄ + ab̄, bc̄ + ab̄, empty
ābc̄ + ab̄c̄ + ab̄c + abc̄ + abc, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c̄ + ab̄c + abc̄, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c̄ + ab̄c, bc̄ + ac̄ + ab̄, bc̄ + ab̄, empty
ābc̄ + ab̄c̄ + ab̄c + abc, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c̄ + ab̄c, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c̄, ābc̄ + ab̄, ābc̄ + ab̄, empty
ābc̄ + ab̄c̄ + abc, ābc̄ + ac + ab̄, ābc̄ + ac + ab̄, empty
ābc̄ + ab̄c̄, ābc̄ + ab̄, ābc̄ + ab̄, empty
ābc̄ + ab̄c̄ + abc̄, bc̄ + ac̄ + ab̄, bc̄ + ab̄, bc̄ + ac̄
ābc̄ + ab̄c̄ + abc̄ + abc, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c̄ + abc̄, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c̄, bc̄ + ac̄ + ab̄, bc̄ + ab̄, bc̄ + ac̄
ābc̄ + ab̄c̄ + abc, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c̄, bc̄ + a, bc̄ + a, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc, ābc̄ + abc, ābc̄ + abc, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc̄, bc̄ + ac̄, bc̄, empty
ābc̄ + abc̄ + abc, bc̄ + ac̄ + ab, bc̄ + ab, empty
ābc̄ + abc̄, bc̄ + ac̄ + ab, bc̄, empty
ābc̄, bc̄, bc̄, empty
ābc̄ + abc, bc̄ + ab, bc̄ + ab, empty
ābc̄, bc̄, bc̄, empty
ābc̄ + ab̄c, ābc̄ + ab̄, ābc̄ + ab̄, empty
ābc̄ + ab̄c + abc, ābc̄ + ac + ab̄, ābc̄ + ac, empty
ābc̄ + ab̄c, ābc̄ + ac + ab̄, ābc̄ + ab̄, ābc̄ + ac
ābc̄ + ab̄c + abc̄, bc̄ + ac̄ + ab̄, bc̄ + ab̄, empty
ābc̄ + ab̄c + abc̄ + abc, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c + abc̄, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c, bc̄ + ab̄, bc̄ + ab̄, empty
ābc̄ + ab̄c + abc, bc̄ + a, bc̄ + a, empty
ābc̄ + ab̄c, bc̄ + a, bc̄ + a, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc, ābc̄ + ac, ābc̄ + ac, empty
ābc̄, ābc̄, ābc̄, empty
ābc̄ + abc̄, bc̄ + ac̄, bc̄, empty
ābc̄ + abc̄ + abc, bc̄ + a, bc̄ + a, empty
ābc̄ + abc̄, bc̄ + a, bc̄, empty
ābc̄, bc̄, bc̄, empty
ābc̄ + abc, bc̄ + a, bc̄ + a, empty
ābc̄, bc̄, bc̄, empty
ābc̄ + ābc, āb, āb, empty
ābc̄ + ābc + abc, bc + āb, bc + āb, empty
ābc̄ + ābc, bc + āb, āb, empty
ābc̄ + ābc + abc̄, bc̄ + āb, bc̄ + āb, empty
ābc̄ + ābc + abc̄ + abc, b, b, empty
ābc̄ + ābc + abc̄, b, b, empty
ābc̄ + ābc, bc̄ + āb, āb, empty
ābc̄ + ābc + abc, b, b, empty
ābc̄ + ābc, b, b, empty
